obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1571,13,3,R,Cumbria,Northwest - Warrington,Cumbria,01/01/2015,Minor,River
1571,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,01/01/2015,Minor,Surface water
1572,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,07/01/2015,Minor,River
1573,75,3,S,Thurrock,Anglian - Peterborough,Thurrock,08/01/2015,Minor,Surface water
1573,18,3,R,East Sussex,Southeast South - Worthing,E Sussex,08/01/2015,Minor,River
1573,18,3,S,East Sussex,Southeast South - Worthing,E Sussex,08/01/2015,Minor,Surface water
1573,87,3,S,Isle of Wight,Southeast South - Worthing,Isle of Wight,08/01/2015,Minor,Surface water
1573,23,3,S,Kent,Southeast South - Worthing,Kent,08/01/2015,Minor,Surface water
1573,85,3,R,Portsmouth,Southeast South - Worthing,Portsmouth,08/01/2015,Minor,River
1573,85,3,S,Portsmouth,Southeast South - Worthing,Portsmouth,08/01/2015,Minor,Surface water
1573,39,3,S,West Sussex,Southeast South - Worthing,W Sussex,08/01/2015,Minor,Surface water
1573,89,3,R,Gwynedd,Wales,Gwynedd,08/01/2015,Minor,River
1574,27,3,C,Norfolk,Anglian - Peterborough,Norfolk,10/01/2015,Minor,Coastal \ tidal
1574,36,3,C,Suffolk,Anglian - Peterborough,Suffolk,10/01/2015,Minor,Coastal \ tidal
1575,27,3,S,Norfolk,Anglian - Peterborough,Norfolk,12/01/2015,Minor,Surface water
1575,89,3,R,Gwynedd,Wales,Gwynedd,12/01/2015,Minor,River
1576,19,3,S,Essex,Anglian - Peterborough,Essex,14/01/2015,Minor,Surface water
1576,11,3,S,Cheshire,Northwest - Warrington,Cheshire,14/01/2015,Minor,Surface water
1576,21,3,R,Hampshire,Southeast South - Worthing,Hampshire,14/01/2015,Minor,River
1576,23,3,R,Kent,Southeast South - Worthing,Kent,14/01/2015,Minor,River
1576,16,3,R,Dorset,Southwest - Exeter,Dorset,14/01/2015,Minor,River
1576,97,3,S,Carmarthenshire,Wales,Carmarthenshire,14/01/2015,Minor,Surface water
1576,89,3,R,Gwynedd,Wales,Gwynedd,14/01/2015,Minor,River
1576,103,3,R,Merthyr Tydfil,Wales,Merthyr Tydfil,14/01/2015,Minor,River
1576,107,3,R,Monmouthshire,Wales,Monmouthshire,14/01/2015,Minor,River
1576,94,3,R,Powys,Wales,Powys,14/01/2015,Minor,River
1576,102,3,R,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,14/01/2015,Minor,River
1577,10,3,R,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,15/01/2015,Minor,River
1577,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,15/01/2015,Minor,Surface water
1577,18,3,R,East Sussex,Southeast South - Worthing,E Sussex,15/01/2015,Minor,River
1577,21,3,R,Hampshire,Southeast South - Worthing,Hampshire,15/01/2015,Minor,River
1577,21,3,S,Hampshire,Southeast South - Worthing,Hampshire,15/01/2015,Minor,Surface water
1577,87,3,R,Isle of Wight,Southeast South - Worthing,Isle of Wight,15/01/2015,Minor,River
1577,87,3,S,Isle of Wight,Southeast South - Worthing,Isle of Wight,15/01/2015,Minor,Surface water
1577,39,3,S,West Sussex,Southeast South - Worthing,W Sussex,15/01/2015,Minor,Surface water
1577,34,3,R,Somerset,Southwest - Exeter,Somerset,15/01/2015,Minor,River
1577,32,3,R,Oxfordshire,Southeast North - Reading,Oxfordshire,15/01/2015,Minor,River
1577,37,3,S,Surrey,Southeast North - Reading,Surrey,15/01/2015,Minor,Surface water
1578,69,3,S,Bournemouth,Southwest - Exeter,Bournemouth,21/01/2015,Minor,Surface water
1578,16,3,S,Dorset,Southwest - Exeter,Dorset,21/01/2015,Minor,Surface water
1578,70,3,S,Poole,Southwest - Exeter,Poole,21/01/2015,Minor,Surface water
1579,12,3,C,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,20/02/2015,Minor,Coastal \ tidal
1580,30,3,C,North Yorkshire,Northeast - Leeds,N Yorkshire,22/02/2015,Minor,Coastal \ tidal
1632,14,3,R,Derbyshire,Midlands - Solihull,Derbyshire,31/03/2015,Minor,River
1632,7,3,R,Greater Manchester,Northwest - Warrington,Gtr Manchester,31/03/2015,Minor,River
1632,14,3,S,Derbyshire,Midlands - Solihull,Derbyshire,31/03/2015,Minor,Surface water
1632,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,31/03/2015,Minor,Surface water
1633,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,31/03/2015,Minor,Surface water
1633,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,31/03/2015,Minor,Surface water
1620,2,3,S,South Yorkshire,Northeast - Leeds,S Yorkshire,01/04/2015,Minor,Surface water
1620,10,3,S,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,01/04/2015,Minor,Surface water
1620,26,3,S,Lincolnshire,Anglian - Peterborough,Lincolnshire,01/04/2015,Minor,Surface water
1620,27,3,S,Norfolk,Anglian - Peterborough,Norfolk,01/04/2015,Minor,Surface water
1620,28,3,S,Northamptonshire,Anglian - Peterborough,Northamptonshire,01/04/2015,Minor,Surface water
1620,31,3,S,Nottinghamshire,Midlands - Solihull,Nottinghamshire,01/04/2015,Minor,Surface water
1620,36,3,S,Suffolk,Anglian - Peterborough,Suffolk,01/04/2015,Minor,Surface water
1620,51,3,S,"Kingston upon Hull, City of",Northeast - Leeds,Kingston upon Hull,01/04/2015,Minor,Surface water
1620,52,3,S,East Riding of Yorkshire,Northeast - Leeds,E Riding of Yorkshire,01/04/2015,Minor,Surface water
1620,53,3,S,North East Lincolnshire,Anglian - Peterborough,NE Lincolnshire,01/04/2015,Minor,Surface water
1620,54,3,S,North Lincolnshire,Midlands - Solihull,N Lincolnshire,01/04/2015,Minor,Surface water
1620,58,3,S,Rutland,Anglian - Peterborough,Rutland,01/04/2015,Minor,Surface water
1620,72,3,S,Peterborough,Anglian - Peterborough,Peterborough,01/04/2015,Minor,Surface water
1637,109,,,Cardiff,Wales,Cardiff,14/05/2015,,
1638,89,,,Gwynedd,Wales,Gwynedd,01/06/2015,,
1638,24,,,Lancashire,Northwest - Warrington,Lancashire,01/06/2015,,
1638,94,,,Powys,Wales,Powys,01/06/2015,,
1638,102,,,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,01/06/2015,,
1640,102,3,S,"Rhondda, Cynon, Taff",Wales,Rhondda Cynon Taff,01/06/2015,Minor,Surface water
1639,23,,,Kent,Southeast South - Worthing,Kent,03/06/2015,,
1642,10,,,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,05/06/2015,,
1642,23,,,Kent,Southeast South - Worthing,Kent,05/06/2015,,
1642,36,,,Suffolk,Anglian - Peterborough,Suffolk,05/06/2015,,
1641,10,3,S,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,05/06/2015,Minor,Surface water
1641,23,3,S,Kent,Southeast South - Worthing,Kent,05/06/2015,Minor,Surface water
1641,36,3,S,Suffolk,Anglian - Peterborough,Suffolk,05/06/2015,Minor,Surface water
1643,59,3,S,Nottingham,Midlands - Solihull,Nottingham,13/06/2015,Minor,Surface water
1643,4,3,S,West Midlands,Midlands - Solihull,W Midlands,13/06/2015,Minor,Surface water
1648,6,,,Greater London,Southeast North - Reading,Gtr London,20/06/2015,,
1648,22,,,Hertfordshire,Southeast North - Reading,Hertfordshire,20/06/2015,,
1648,79,,,Reading,Southeast North - Reading,Reading,20/06/2015,,
1645,6,3,S,Greater London,Southeast North - Reading,Gtr London,20/06/2015,Minor,Surface water
1645,79,3,S,Reading,Southeast North - Reading,Reading,20/06/2015,Minor,Surface water
1646,6,3,S,Greater London,Southeast North - Reading,Gtr London,20/06/2015,Minor,Surface water
1646,79,3,S,Reading,Southeast North - Reading,Reading,20/06/2015,Minor,Surface water
1647,6,,,Greater London,Southeast North - Reading,Gtr London,20/06/2015,,
1647,79,,,Reading,Southeast North - Reading,Reading,20/06/2015,,
1644,6,3,S,Greater London,Southeast North - Reading,Gtr London,20/06/2015,Minor,Surface water
1644,79,3,S,Reading,Southeast North - Reading,Reading,20/06/2015,Minor,Surface water
1649,6,,,Greater London,Southeast North - Reading,Gtr London,28/06/2015,,
1651,3,,,Tyne and Wear,Northeast - Leeds,Tyne and Wear,01/07/2015,,
1650,15,3,S,Devon,Southwest - Exeter,Devon,02/07/2015,Minor,Surface water
1655,69,3,S,Bournemouth,Southwest - Exeter,Bournemouth,03/07/2015,Minor,Surface water
1655,16,3,S,Dorset,Southwest - Exeter,Dorset,03/07/2015,Minor,Surface water
1655,40,3,S,Wiltshire,Southwest - Exeter,Wiltshire,03/07/2015,Minor,Surface water
1652,69,3,S,Bournemouth,Southwest - Exeter,Bournemouth,03/07/2015,Minor,Surface water
1676,2,3,S,South Yorkshire,Northeast - Leeds,S Yorkshire,04/07/2015,Minor,Surface water
1670,43,,,Middlesbrough,Northeast - Leeds,Middlesbrough,04/07/2015,,
1670,45,,,Stockton-on-Tees,Northeast - Leeds,Stockton-on-Tees,04/07/2015,,
1653,52,3,R,East Riding of Yorkshire,Northeast - Leeds,E Riding of Yorkshire,04/07/2015,Minor,River
1653,51,3,R,"Kingston upon Hull, City of",Northeast - Leeds,Kingston upon Hull,04/07/2015,Minor,River
1653,59,3,R,Nottingham,Midlands - Solihull,Nottingham,04/07/2015,Minor,River
1677,35,,,Staffordshire,Midlands - Solihull,Staffordshire,04/07/2015,,
1656,5,3,S,West Yorkshire,Northeast - Leeds,W Yorkshire,05/07/2015,Minor,Surface water
1673,5,,,West Yorkshire,Northeast - Leeds,W Yorkshire,05/07/2015,,
1657,29,3,R,Northumberland,Northeast - Leeds,Northumberland,05/07/2015,Minor,River
1658,6,,,Greater London,Southeast North - Reading,Gtr London,05/07/2015,,
1675,29,3,S,Northumberland,Northeast - Leeds,Northumberland,05/07/2015,Minor,Surface water
1654,12,3,S,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,05/07/2015,Minor,Surface water
1660,15,2,R,Devon,Southwest - Exeter,Devon,07/07/2015,Significant,River
1661,12,2,R,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,07/07/2015,Significant,River
1661,15,2,R,Devon,Southwest - Exeter,Devon,07/07/2015,Significant,River
1661,67,2,R,Plymouth,Southwest - Exeter,Plymouth,07/07/2015,Significant,River
1661,68,2,R,Torbay,Southwest - Exeter,Torbay,07/07/2015,Significant,River
1662,8,2,R,Bedfordshire,Anglian - Peterborough,Bedfordshire,07/07/2015,Significant,River
1662,9,2,R,Buckinghamshire,Southeast North - Reading,Buckinghamshire,07/07/2015,Significant,River
1662,10,2,R,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,07/07/2015,Significant,River
1662,19,2,R,Essex,Anglian - Peterborough,Essex,07/07/2015,Significant,River
1662,22,2,R,Hertfordshire,Southeast North - Reading,Hertfordshire,07/07/2015,Significant,River
1662,27,2,R,Norfolk,Anglian - Peterborough,Norfolk,07/07/2015,Significant,River
1662,36,2,R,Suffolk,Anglian - Peterborough,Suffolk,07/07/2015,Significant,River
1662,73,2,R,Luton,Southeast North - Reading,Luton,07/07/2015,Significant,River
1663,20,2,R,Gloucestershire,Midlands - Solihull,Gloucestershire,07/07/2015,Significant,River
1664,21,2,R,Hampshire,Southeast South - Worthing,Hampshire,07/07/2015,Significant,River
1665,16,2,R,Dorset,Southwest - Exeter,Dorset,07/07/2015,Significant,River
1666,23,2,R,Kent,Southeast South - Worthing,Kent,07/07/2015,Significant,River
1667,27,2,R,Norfolk,Anglian - Peterborough,Norfolk,07/07/2015,Significant,River
1668,26,2,R,Lincolnshire,Anglian - Peterborough,Lincolnshire,07/07/2015,Significant,River
1669,30,2,R,North Yorkshire,Northeast - Leeds,N Yorkshire,07/07/2015,Significant,River
1672,69,,,Bournemouth,Southwest - Exeter,Bournemouth,09/07/2015,,
1671,69,,,Bournemouth,Southwest - Exeter,Bournemouth,09/07/2015,,
1678,10,2,S,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,17/07/2015,Significant,Surface water
1679,22,3,R,Hertfordshire,Southeast North - Reading,Hertfordshire,17/07/2015,Minor,River
1679,22,2,S,Hertfordshire,Southeast North - Reading,Hertfordshire,17/07/2015,Significant,Surface water
1680,27,,,Norfolk,Anglian - Peterborough,Norfolk,17/07/2015,,
1681,10,,,Cambridgeshire,Anglian - Peterborough,Cambridgeshire,17/07/2015,,
1682,15,3,S,Devon,Southwest - Exeter,Devon,24/07/2015,Minor,Surface water
1682,16,3,S,Dorset,Southwest - Exeter,Dorset,24/07/2015,Minor,Surface water
1682,6,3,S,Greater London,Southeast North - Reading,Gtr London,24/07/2015,Minor,Surface water
1682,22,3,S,Hertfordshire,Southeast North - Reading,Hertfordshire,24/07/2015,Minor,Surface water
1682,23,3,S,Kent,Southeast South - Worthing,Kent,24/07/2015,Minor,Surface water
1682,36,3,S,Suffolk,Anglian - Peterborough,Suffolk,24/07/2015,Minor,Surface water
1682,78,3,S,West Berkshire,Southeast North - Reading,W Berkshire,24/07/2015,Minor,Surface water
1683,6,3,S,Greater London,Southeast North - Reading,Gtr London,24/07/2015,Minor,Surface water
1687,6,,,Greater London,Southeast North - Reading,Gtr London,24/07/2015,,
1688,36,2,R,Suffolk,Anglian - Peterborough,Suffolk,24/07/2015,Significant,River
1688,36,2,S,Suffolk,Anglian - Peterborough,Suffolk,24/07/2015,Significant,Surface water
1684,22,3,S,Hertfordshire,Southeast North - Reading,Hertfordshire,25/07/2015,Minor,Surface water
1684,23,3,S,Kent,Southeast South - Worthing,Kent,25/07/2015,Minor,Surface water
1684,36,2,S,Suffolk,Anglian - Peterborough,Suffolk,25/07/2015,Significant,Surface water
1686,23,3,S,Kent,Southeast South - Worthing,Kent,25/07/2015,Minor,Surface water
1685,84,3,S,Brighton and Hove,Southeast South - Worthing,Brighton and Hove,26/07/2015,Minor,Surface water
1685,15,3,S,Devon,Southwest - Exeter,Devon,26/07/2015,Minor,Surface water
1765,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,29/07/2015,Minor,River
1765,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,29/07/2015,Minor,Surface water
1690,67,3,S,Plymouth,Southwest - Exeter,Plymouth,10/08/2015,Minor,Surface water
1691,67,,,Plymouth,Southwest - Exeter,Plymouth,10/08/2015,,
1689,67,,,Plymouth,Southwest - Exeter,Plymouth,10/08/2015,,
1695,12,,,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,13/08/2015,,
1692,84,3,S,Brighton and Hove,Southeast South - Worthing,Brighton and Hove,13/08/2015,Minor,Surface water
1692,18,3,S,East Sussex,Southeast South - Worthing,E Sussex,13/08/2015,Minor,Surface water
1692,23,3,S,Kent,Southeast South - Worthing,Kent,13/08/2015,Minor,Surface water
1692,26,3,S,Lincolnshire,Anglian - Peterborough,Lincolnshire,13/08/2015,Minor,Surface water
1692,39,3,S,West Sussex,Southeast South - Worthing,W Sussex,13/08/2015,Minor,Surface water
1693,31,3,S,Nottinghamshire,Midlands - Solihull,Nottinghamshire,14/08/2015,Minor,Surface water
1699,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,14/08/2015,Minor,Surface water
1694,15,3,S,Devon,Southwest - Exeter,Devon,14/08/2015,Minor,Surface water
1694,16,3,S,Dorset,Southwest - Exeter,Dorset,14/08/2015,Minor,Surface water
1694,20,3,S,Gloucestershire,Midlands - Solihull,Gloucestershire,14/08/2015,Minor,Surface water
1694,7,3,S,Greater Manchester,Northwest - Warrington,Gtr Manchester,14/08/2015,Minor,Surface water
1694,24,3,S,Lancashire,Northwest - Warrington,Lancashire,14/08/2015,Minor,Surface water
1694,26,3,S,Lincolnshire,Anglian - Peterborough,Lincolnshire,14/08/2015,Minor,Surface water
1694,108,3,S,Newport,Wales,Newport,14/08/2015,Minor,Surface water
1694,35,3,S,Staffordshire,Midlands - Solihull,Staffordshire,14/08/2015,Minor,Surface water
1694,41,3,S,Worcestershire,Midlands - Solihull,Worcestershire,14/08/2015,Minor,Surface water
1697,12,,,Cornwall and Isles of Scilly,Southwest - Exeter,Cornwall & Isles of Scilly,22/08/2015,,
1703,3,,,Tyne and Wear,Northeast - Leeds,Tyne and Wear,22/08/2015,,
1698,24,3,S,Lancashire,Northwest - Warrington,Lancashire,22/08/2015,Minor,Surface water
1698,1,3,S,Merseyside,Northwest - Warrington,Merseyside,22/08/2015,Minor,Surface water
1698,93,3,S,Wrexham,Wales,Wrexham,22/08/2015,Minor,Surface water
1700,30,3,S,North Yorkshire,Northeast - Leeds,N Yorkshire,22/08/2015,Minor,Surface water
